;feridos;veiculos;ano;CD_UF_IBGE;CD_MUNICIPIO_IBGE;classificacao_acidente_Com Vítimas Fatais;classificacao_acidente_Com Vítimas Feridas;classificacao_acidente_Ignorado;classificacao_acidente_Sem Vítimas;sentido_via_Crescente;sentido_via_Decrescente;sentido_via_Não Informado;tipo_pista_Dupla;tipo_pista_Múltipla;tipo_pista_Simples;uso_solo_Não;uso_solo_Rural;uso_solo_Sim;uso_solo_Urbano;causa_acidente_freq;tipo_acidente_freq;condicao_metereologica_freq;tracado_via_freq;dia_semana_num_sen;dia_semana_num_cos;mes_sen;mes_cos;hora_sen;hora_cos;fase_dia_encoded;br_km_freq_normal;km_relativo
20;1;2;2007;33;3301702;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;133299;551186;339957;1486976;0.0;1.0;0.49999999999999994;0.8660254037844387;0.49999999999999994;0.8660254037844387;3.0;0.0004590747673356849;0.2522255192878338
21;0;1;2007;24;2403608;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;505012;230929;1124644;101456;0.0;1.0;0.49999999999999994;0.8660254037844387;0.49999999999999994;0.8660254037844387;3.0;0.0002487800385861047;
22;1;1;2007;42;4201307;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;133299;95937;386016;1486976;0.0;1.0;0.49999999999999994;0.8660254037844387;0.8660254037844386;0.5000000000000001;3.0;0.0001;
23;0;2;2007;41;4104808;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;505012;155614;1124644;1486976;0.0;1.0;0.49999999999999994;0.8660254037844387;0.8660254037844386;0.5000000000000001;3.0;0.0001;
24;0;1;2007;31;3147006;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;133299;551186;386016;1486976;0.0;1.0;0.49999999999999994;0.8660254037844387;0.8660254037844386;0.5000000000000001;3.0;0.0001;
25;1;1;2007;42;4207502;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;505012;230929;339957;101456;0.0;1.0;0.49999999999999994;0.8660254037844387;0.25881904510252074;0.9659258262890683;3.0;0.0001;
26;2;2;2007;42;4201257;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;505012;155614;386016;1486976;0.0;1.0;0.49999999999999994;0.8660254037844387;0.25881904510252074;0.9659258262890683;3.0;0.0001;
27;1;2;2007;41;4125506;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;449024;551186;339957;1486976;0.0;1.0;0.49999999999999994;0.8660254037844387;0.49999999999999994;0.8660254037844387;3.0;0.0001;
28;2;1;2007;41;4104808;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;505012;43755;1124644;1486976;0.0;1.0;0.49999999999999994;0.8660254037844387;0.8660254037844386;0.5000000000000001;3.0;0.0001;10.591071428571428
29;1;1;2007;52;5201108;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;449024;93846;386016;1486976;0.0;1.0;0.49999999999999994;0.8660254037844387;0.7071067811865476;0.7071067811865476;3.0;0.0001;
30;3;1;2007;33;3301850;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;449024;230929;339957;1486976;0.0;1.0;0.49999999999999994;0.8660254037844387;0.8660254037844386;0.5000000000000001;3.0;0.000215792630154798;0.11517165005537099
31;0;1;2007;35;3518800;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;505012;551186;339957;1486976;0.0;1.0;0.49999999999999994;0.8660254037844387;0.9659258262890683;0.25881904510252074;3.0;0.0002982611512330647;
32;0;1;2007;31;3164407;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;449024;230929;339957;1486976;0.0;1.0;0.49999999999999994;0.8660254037844387;0.49999999999999994;0.8660254037844387;3.0;0.0001;
33;0;2;2007;42;4208203;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;63300;9632;386016;101456;0.0;1.0;0.49999999999999994;0.8660254037844387;0.49999999999999994;0.8660254037844387;3.0;0.0001;
34;0;1;2007;33;3302502;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;133299;230929;339957;1486976;0.0;1.0;0.49999999999999994;0.8660254037844387;0.7071067811865476;0.7071067811865476;3.0;0.00015073413019305422;
35;2;1;2007;35;3555406;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;449024;95937;339957;1486976;0.0;1.0;0.49999999999999994;0.8660254037844387;0.25881904510252074;0.9659258262890683;3.0;0.0002936795667287166;
36;1;2;2007;43;4312054;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;505012;155614;245893;1486976;0.0;1.0;0.49999999999999994;0.8660254037844387;1.0;6.123233995736766e-17;1.0;0.0001;
37;1;1;2007;35;3552809;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;449024;93846;339957;1486976;0.0;1.0;0.49999999999999994;0.8660254037844387;0.25881904510252074;0.9659258262890683;3.0;0.0001;0.4704365761430045
38;0;1;2007;41;4125506;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;133299;95937;339957;1486976;0.0;1.0;0.49999999999999994;0.8660254037844387;0.49999999999999994;0.8660254037844387;3.0;0.0001;
39;3;1;2007;42;4216057;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;62408;95937;21339;428291;0.0;1.0;0.49999999999999994;0.8660254037844387;1.0;6.123233995736766e-17;0.0;0.0001;
40;2;1;2007;41;4104808;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;505012;230929;1124644;1486976;0.0;1.0;0.49999999999999994;0.8660254037844387;0.9659258262890683;-0.25881904510252063;1.0;0.0001;0.059997391417764445
41;2;1;2007;31;3105608;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;449024;230929;339957;1486976;0.0;1.0;0.49999999999999994;0.8660254037844387;0.25881904510252074;0.9659258262890683;3.0;0.0001;
42;1;1;2007;15;1504422;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;505012;230929;21339;428291;0.0;1.0;0.49999999999999994;0.8660254037844387;0.8660254037844386;0.5000000000000001;3.0;0.00012461909851826976;
43;2;1;2007;15;1502939;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;61083;52260;37075;1486976;0.0;1.0;0.49999999999999994;0.8660254037844387;0.7071067811865476;0.7071067811865476;3.0;0.0001;
44;0;1;2007;42;4201307;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;23400;95937;339957;428291;0.0;1.0;0.49999999999999994;0.8660254037844387;0.7071067811865476;-0.7071067811865475;1.0;0.0001;
45;1;1;2007;26;2605103;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;40637;95937;245893;1486976;0.0;1.0;0.49999999999999994;0.8660254037844387;1.0;6.123233995736766e-17;1.0;0.0001;
46;1;2;2007;42;4202008;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;505012;288147;386016;428291;0.0;1.0;0.49999999999999994;0.8660254037844387;0.7071067811865476;-0.7071067811865475;1.0;0.0001;
47;0;3;2007;33;3303500;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;62408;551186;339957;1486976;0.0;1.0;0.49999999999999994;0.8660254037844387;0.7071067811865476;-0.7071067811865475;1.0;0.00037981335541046186;2.5693430656934306
48;0;1;2007;35;3555406;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;449024;93846;386016;428291;0.0;1.0;0.49999999999999994;0.8660254037844387;0.7071067811865476;-0.7071067811865475;1.0;0.0001;
49;0;1;2007;31;3142403;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;133299;230929;339957;428291;0.0;1.0;0.49999999999999994;0.8660254037844387;0.8660254037844387;-0.4999999999999998;1.0;0.0001;
50;2;5;2007;33;3303500;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;449024;551186;339957;1486976;0.0;1.0;0.49999999999999994;0.8660254037844387;1.0;6.123233995736766e-17;1.0;0.00037981335541046186;0.021730004691705558
51;0;1;2007;42;4209003;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;62408;230929;1124644;428291;0.0;1.0;0.49999999999999994;0.8660254037844387;0.8660254037844387;-0.4999999999999998;1.0;0.0001;
52;1;1;2007;41;4105003;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;40637;230929;245893;1486976;0.0;1.0;0.49999999999999994;0.8660254037844387;0.8660254037844387;-0.4999999999999998;3.0;0.0001;
53;0;2;2007;51;5108402;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;63300;288147;1124644;1486976;0.0;1.0;0.49999999999999994;0.8660254037844387;0.7071067811865476;-0.7071067811865475;1.0;0.0001;
54;2;1;2007;29;2920403;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;505012;230929;1124644;428291;0.0;1.0;0.49999999999999994;0.8660254037844387;0.9659258262890683;-0.25881904510252063;1.0;0.0001;
55;2;2;2007;42;4211454;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;505012;288147;1124644;1486976;0.0;1.0;0.49999999999999994;0.8660254037844387;0.7071067811865476;-0.7071067811865475;1.0;0.0001;
